Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
363;2024-11-03;20:50;ballarat;R2;4;BUFFALO COWBOY;79
364;2024-11-03;20:50;ballarat;R2;5;SOLAR TESS;86
365;2024-11-03;20:50;ballarat;R2;6;BELAIR NOMAD;76
366;2024-11-03;20:50;ballarat;R2;7;MEEK;70
367;2024-11-03;20:50;ballarat;R2;8;AUSSIE FLAME;83
368;2024-11-03;20:50;ballarat;R2;9;PAW TRINNY;
369;2024-11-03;20:50;ballarat;R2;10;TONK JEAN;
370;2024-11-03;21:06;ballarat;R3;1;MY GRACIE;93
371;2024-11-03;21:06;ballarat;R3;2;LONG REEF;93
372;2024-11-03;21:06;ballarat;R3;3;MAXIMUM REED;100
373;2024-11-03;21:06;ballarat;R3;4;BELFAST SPOT;96
374;2024-11-03;21:06;ballarat;R3;5;VANESSA BALE;93
375;2024-11-03;21:06;ballarat;R3;6;LOSE MY NUMBER;93
376;2024-11-03;21:06;ballarat;R3;7;PAW KINSLEY;89
377;2024-11-03;21:06;ballarat;R3;8;PAW NITRO;96
378;2024-11-03;21:06;ballarat;R3;9;PAW TRINNY;
379;2024-11-03;21:22;ballarat;R4;1;DAWNY BY NAME;95
380;2024-11-03;21:22;ballarat;R4;2;WINNIE'S WISH;
381;2024-11-03;21:22;ballarat;R4;3;THAT'S A BOODIE;97
382;2024-11-03;21:22;ballarat;R4;4;DOWN SOUTH GIRL;96
383;2024-11-03;21:22;ballarat;R4;5;HARTLAND DUKE;85
384;2024-11-03;21:22;ballarat;R4;6;QUILLA REEF;96
385;2024-11-03;21:22;ballarat;R4;7;RIVIERA BALE;100
386;2024-11-03;21:22;ballarat;R4;8;SPRING WATCH;97
387;2024-11-03;21:47;ballarat;R5;1;BLUE CHAI LATTE;98
388;2024-11-03;21:47;ballarat;R5;2;ABLETT FLYER;94
389;2024-11-03;21:47;ballarat;R5;3;IMPRESARIO;90
390;2024-11-03;21:47;ballarat;R5;4;MAJOR PHANTOM;100
391;2024-11-03;21:47;ballarat;R5;5;MR. FLASH;88
392;2024-11-03;21:47;ballarat;R5;6;HARRY CHANA;87
393;2024-11-03;21:47;ballarat;R5;7;SCOTT TO BURN;93
394;2024-11-03;21:47;ballarat;R5;8;DERNANCOURT;88
395;2024-11-03;22:05;ballarat;R6;1;SINGLE FLICKER;93
396;2024-11-03;22:05;ballarat;R6;2;WHATEVER HE SAID;
397;2024-11-03;22:05;ballarat;R6;3;JOSIE'S JEWEL;100
398;2024-11-03;22:05;ballarat;R6;4;SMOKIN' ARROW;91
